Coach,Team(s) coached (years)[a],Coaching record,Championships won as coach[b],Coach of the Year award(s) won,Year,Ref.
Lenny Wilkens*,"Seattle SuperSonics (1969–1972, 1977–1985)",1014–850 (.544),1 (1979),1 (1994),1998,[65]
,Portland Trail Blazers (1974–1976),1332–1155 (.536)[c],,,,
,Cleveland Cavaliers (1986–1993),,,,,
,Atlanta Hawks (1993–2000),,,,,
,Toronto Raptors (2000–2003),,,,,
,New York Knicks (2004–2005),,,,,
Pat Riley*,Los Angeles Lakers (1981–1990),798–339 (.702),"5 (1982, 1985, 1987, 1988, 2006)","3 (1990, 1993, 1997)",2008,[64]
,New York Knicks (1991–1995),1210–694 (.636)[c],,,,
,"Miami Heat (1995–2003, 2005–2008)",,,,,
Jack Ramsay*,Philadelphia 76ers (1968–1972),864–783 (.525),1 (1977),None,1992,[63]
,Buffalo Braves (1972–1976),,,,,
,Portland Trail Blazers (1976–1986),,,,,
,Indiana Pacers (1986–1988),,,,,
Don Nelson*,Milwaukee Bucks (1976–1987),851–629 (.575),None,"3 (1983, 1985, 1992)",2012,[61][62]
,"Golden State Warriors (1988–1995, 2006–2010)",1335–1063 (.557)[c],,,,
,New York Knicks (1995–1996),,,,,
,Dallas Mavericks (1997–2005),,,,,
John Kundla*,Minneapolis Lakers (1948–1959),423–302 (.583),"5 (1949, 1950, 1952, 1953, 1954)",None,1995,[60]
Phil Jackson*,Chicago Bulls (1989–1998),414–160 (.721),"11 (1991, 1992, 1993, 1996, 1997, 1998, 2000, 2001, 2002, 2009, 2010)",1 (1996),2007,[59]
,"Los Angeles Lakers (1999–2004, 2005–2011)",1155–485 (.704)[c],,,,
Red Holzman*,Milwaukee / St. Louis Hawks (1954–1956),696–604 (.535),"2 (1970, 1973)",1 (1970),1986,[58]
,New York Knicks (1967–1982),,,,,
Bill Fitch*,Cleveland Cavaliers (1970–1979),944–1106 (.460),1 (1981),"2 (1976, 1980)",2019,[57]
,Boston Celtics (1979–1983),,,,,
,Houston Rockets (1983–1988),,,,,
,New Jersey Nets (1989–1992),,,,,
,Los Angeles Clippers (1994–1998),,,,,
Chuck Daly*,Cleveland Cavaliers (1982),564–379 (.598),"2 (1989, 1990)",None,1994,[56]
,Detroit Pistons (1983–1992),638–437 (.593)[c],,,,
,New Jersey Nets (1992–1994),,,,,
,Orlando Magic (1997–1999),,,,,
Red Auerbach*,Washington Capitols (1946–1949),938–479 (.662),"9 (1957, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966)",1 (1965),1969,[55]
,Tri-Cities Blackhawks (1949–1950),,,,,
,Boston Celtics (1950–1966),,,,,
